2017-04-07 09:02:45.867 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 09:02:45.902 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 09:02:47.384 INFO  com.html.service.Tess4jCode - 识别图片的结果：[0MFa]
2017-04-07 09:02:47.525 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[0MFa],JSESSIONID的值:[3DFD14363F2356775EEED8ACB855AD29]
2017-04-07 09:02:53.866 INFO  com.html.service.HtmlService - JSESSIONID--->3F5B8D06A18F990F7E61B348A30602E5
2017-04-07 09:02:54.340 INFO  com.html.service.HtmlService - action--->login;jsessionid=3F5B8D06A18F990F7E61B348A30602E5
2017-04-07 09:02:54.356 INFO  com.html.service.HtmlService - lt--->_c79AF6B41-B0AF-FDB0-641C-9B7A1A5FBF51_k99587D47-FAAC-46AF-0529-F6940A9EF23F
2017-04-07 09:02:54.357 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 09:02:54.369 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 09:02:54.374 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 09:02:55.630 INFO  com.html.service.Tess4jCode - 识别图片的结果：[KBT4]
2017-04-07 09:02:55.811 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[KBT4],JSESSIONID的值:[3F5B8D06A18F990F7E61B348A30602E5]
2017-04-07 09:03:04.259 INFO  com.html.service.HtmlService - JSESSIONID--->BC8BA6F8FC9901B80ADC80D30A932E12
2017-04-07 09:03:04.728 INFO  com.html.service.HtmlService - action--->login;jsessionid=BC8BA6F8FC9901B80ADC80D30A932E12
2017-04-07 09:03:04.735 INFO  com.html.service.HtmlService - lt--->_cE51AE8CF-56A0-51E3-6383-8F4A00310923_kDC67D74E-1845-BAB4-C56F-66AC93369A56
2017-04-07 09:03:04.737 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 09:03:04.749 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 09:03:04.754 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 09:03:05.964 INFO  com.html.service.Tess4jCode - 识别图片的结果：[3VBH]
2017-04-07 09:03:06.109 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[3VBH],JSESSIONID的值:[BC8BA6F8FC9901B80ADC80D30A932E12]
2017-04-07 09:03:11.668 INFO  com.html.service.HtmlService - JSESSIONID--->798A33D16CC7E1246231988C838424F1
2017-04-07 09:03:12.153 INFO  com.html.service.HtmlService - action--->login;jsessionid=798A33D16CC7E1246231988C838424F1
2017-04-07 09:03:12.171 INFO  com.html.service.HtmlService - lt--->_c94652D9D-BE56-5C88-71E4-0124A9AAC9AB_k2E2F6510-A9D7-A4C4-2D5E-C8282732A1AE
2017-04-07 09:03:12.173 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 09:03:12.187 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 09:03:12.191 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 09:03:13.588 INFO  com.html.service.Tess4jCode - 识别图片的结果：[M77W]
2017-04-07 09:03:13.727 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[M77W],JSESSIONID的值:[798A33D16CC7E1246231988C838424F1]
2017-04-07 09:03:20.813 INFO  com.html.service.HtmlService - JSESSIONID--->7F6A43CB78440B52DD3B3CBE913772BA
2017-04-07 09:03:21.329 INFO  com.html.service.HtmlService - action--->login;jsessionid=7F6A43CB78440B52DD3B3CBE913772BA
